№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;;;1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0,044444444;0,113888889;0,213888889;0,294444444;0,347222222;0,347222222;0,294444444;0,213888889;0,113888889;0,044444444;0;0;0;0;0;0;0;2,027777778;;I;0;0;0;0;0;0;0;0,025;0,047222222;0,105555556;0,158333333;0,191666667;0,191666667;0,158333333;0,105555556;0,047222222;0,025;0;0;0;0;0;0;0;1,055555556
II;0;0;0;0;0;0;0,008333333;0,091666667;0,2;0,297222222;0,375;0,438888889;0,438888889;0,375;0,297222222;0,2;0,091666667;0,008333333;0;0;0;0;0;0;2,822222222;;II;0;0;0;0;0;0;0,002777778;0,036111111;0,094444444;0,147222222;0,197222222;0,238888889;0,238888889;0,197222222;0,147222222;0,094444444;0,036111111;0,002777778;0;0;0;0;0;0;1,433333333
III;0;0;0;0;0;0;0,036111111;0,127777778;0,25;0,375;0,469444444;0,511111111;0,511111111;0,469444444;0,375;0,25;0,127777778;0,036111111;0;0;0;0;0;0;3,538888889;;III;0;0;0;0;0;0;0,008333333;0,041666667;0,111111111;0,186111111;0,241666667;0,263888889;0,263888889;0,241666667;0,186111111;0,111111111;0,041666667;0,008333333;0;0;0;0;0;0;1,705555556
IV;0;0;0;0;0;0,011111111;0,1;0,233333333;0,391666667;0,533333333;0,616666667;0,647222222;0,647222222;0,597222222;0,516666667;0,369444444;0,213888889;0,080555556;0,008333333;0;0;0;0;0;4,966666667;;IV;0;0;0;0;0;0,002777778;0,038888889;0,111111111;0,213888889;0,313888889;0,366666667;0,377777778;0,377777778;0,347222222;0,297222222;0,191666667;0,091666667;0,019444444;0;0;0;0;0;0;2,75
V;0;0;0;0;0;0,055555556;0,188888889;0,338888889;0,505555556;0,652777778;0,758333333;0,794444444;0,794444444;0,752777778;0,638888889;0,475;0,319444444;0,155555556;0,041666667;0;0;0;0;0;6,472222222;;V;0;0;0;0;0;0,019444444;0,097222222;0,197222222;0,316666667;0,430555556;0,513888889;0,536111111;0,536111111;0,508333333;0,416666667;0,286111111;0,177777778;0,063888889;0,005555556;0;0;0;0;0;4,105555556
VI;0;0;0;0;0,008333333;0,094444444;0,241666667;0,411111111;0,594444444;0,75;0,852777778;0,894444444;0,894444444;0,852777778;0,75;0,552777778;0,375;0,213888889;0,077777778;0,005555556;0;0;0;0;7,569444444;;VI;0;0;0;0;0,005555556;0,047222222;0,138888889;0,266666667;0,416666667;0,552777778;0,644444444;0,680555556;0,680555556;0,644444444;0,552777778;0,375;0,230555556;0,111111111;0,030555556;0,002777778;0;0;0;0;5,380555556
VII;0;0;0;0;0,005555556;0,091666667;0,230555556;0,416666667;0,577777778;0,752777778;0,872222222;0,916666667;0,916666667;0,872222222;0,752777778;0,566666667;0,336111111;0,161111111;0,05;0,002777778;0;0;0;0;7,522222222;;VII;0;0;0;0;0,002777778;0,036111111;0,125;0,266666667;0,408333333;0,547222222;0,658333333;0,688888889;0,688888889;0,658333333;0,547222222;0,397222222;0,2;0,069444444;0,008333333;0;0;0;0;0;5,302777778
VIII;0;0;0;0;0;0,036111111;0,177777778;0,358333333;0,536111111;0,716666667;0,830555556;0,888888889;0,888888889;0,830555556;0,716666667;0,536111111;0,297222222;0,119444444;0,030555556;0;0;0;0;0;6,963888889;;VIII;0;0;0;0;0;0,013888889;0,097222222;0,238888889;0,386111111;0,544444444;0,644444444;0,697222222;0,697222222;0,644444444;0,544444444;0,386111111;0,177777778;0,038888889;0,008333333;0;0;0;0;0;5,119444444
IX;0;0;0;0;0;0,002777778;0,080555556;0,230555556;0,436111111;0,608333333;0,738888889;0,788888889;0,788888889;0,738888889;0,608333333;0,436111111;0,230555556;0,080555556;0,002777778;0;0;0;0;0;5,772222222;;IX;0;0;0;0;0;0;0,033333333;0,125;0,297222222;0,433333333;0,55;0,597222222;0,597222222;0,55;0,433333333;0,297222222;0,125;0,033333333;0;0;0;0;0;0;4,072222222
X;0;0;0;0;0;0;0,013888889;0,136111111;0,291666667;0,425;0,547222222;0,597222222;0,597222222;0,547222222;0,425;0,291666667;0,136111111;0,013888889;0;0;0;0;0;0;4,022222222;;X;0;0;0;0;0;0;0,002777778;0,075;0,180555556;0,277777778;0,377777778;0,416666667;0,416666667;0,377777778;0,277777778;0,180555556;0,075;0,002777778;0;0;0;0;0;0;2,661111111
