ID;Производитель;Модель;Мощность, кВт;Диаметр,м;Регулир.;Мультипликатор;Оффшорисполн.;Макс.скорость, м/с;Производство;Высота башни, м;Мин.скорость, м/с;Ном.скорость, м/с;Макс.скорость, м/с;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;Число лопастей;Угол лопасти;Высота втулки, м;Вращ. ВК, об/мин;перед. Число;Тип ген-ра;Напряж.ген., кВ;Вращ.рот, об/мин;Лопасть;Ротор;Гондола;Башня;Общий;Страна;Шум, дБ(А);Систмы регулирования;Тормозная система;;;Сайт;;;;;;;;Видео
76;Danwin;20/110;110;19,6;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Danwin;20/140;140;19,6;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Danwin;20/99;99;19,6;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Danwin;23/180;180;23;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Danwin;24/150;150;24;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Danwin;24/200;200;24;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Danwin;27/225;225;27;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;DDIS;DDIS60;800;60;Pitch;No;No;ND;Available;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Франция;;;;;;: http://www.ddiswt.com;;;;;;;;нет данных по ВЭУ
84;DEC;FD70-1500;1500;70;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;DEC;FD77-1500;1500;77;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Dencon;Tornado 200/26;200;26;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Dencon;Tornado 250/26;250;26;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;DESA;A300;300;30;ND;Yes;No;25;Available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Dewind;D4;600;48;ND;ND;No;ND;Available;45-70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;США;;;;;;http://www.dewindco.com/eng/product/summary.asp;;;;;;;;
90;Dewind;D4-500;500;41;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Dewind;D6;1250;64;Pitch;ND;No;ND;Available;60-91.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Аг, ДП;;;;;;;;США;;;;;;http://www.dewindco.com/eng/product/summary.asp;;;;;;;;
92;Dewind;D6-1000;1000;62;Pitch;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Dewind;D8;2000;80;Pitch;ND;No;ND;Available;80-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Аг, ДП;;;;;;;;США;;;;;;http://www.dewindco.com/eng/product/summary.asp;;;;;;;;
94;Dewind;D8.2;2000;80;Pitch;No;No;25;Available;80-100;4;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Сг, без щеток;13,8;1500/1800;;;;;;США;;;;;;http://www.dewindco.com/eng/product/summary.asp;;;;;;;;
95;Dewind;D9;2000;93;Pitch;Yes;No;25;Available;80/100;3;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Аг;0,69;;;;;;;США;;;;;;http://www.dewindco.com/eng/product/summary.asp;;;;;;;;
96;Dewind;D9.1;2000;93;Pitch;Yes;No;25;Available;80/100;3;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Сг, пост.магниты;0,69;;;;;;;США;;;;;;http://www.dewindco.com/eng/product/summary.asp;;;;;;;;
97;Dewind;D9.2;2000;93;Pitch;Yes;No;25;Available;80/100;4,5;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Сг, без щеток;4.6/13.8;1500/1800;;;;;;США;;;;;;http://www.dewindco.com/eng/product/summary.asp;;;;;;;;
98;Doosan;WinDS3000;3000;91,3;Pitch;No;No;25;Available;80;3;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;;Сг, пост.магнит;;;;;;;;Южная Корея;;;;;;http://www.doosan.com/doosanheavybiz/en/services/green_energy/wind.page?;;;;;;;;
99;DWP;D150/22;150;22,2;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;DWP;D150/24;150;23,6;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;DWP;D175/24;175;23,6;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;DWP;D90/19;90;19;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;e.n.o. energy;82;2000;82,4;Pitch;Yes;No;25;Available;58.6/80/101/108;3;13;25;;;39;90,71;177,2;306,1;486,2;722,7;1018,2;1382,1;1757;1911;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;;;;;;3;var;;9,8-18,7;1:96;Аг, ДП;0,69;900-1800;;;;;;Германия;106,6/105,9;электромех.;аэродинамическая;;;http://www.eno-energy.com/windenergieanlagen/eno-82.html;;;;;;;;
104;e.n.o. energy;92;2200;92,8;Pitch;Yes;No;25;Available;80/103/123;3;13;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;var;;4-14,8;;Сг;0,69;450-1650;;;;;;Германия;104,8;электромех.;аэродинамическая;;;http://www.eno-energy.com/windenergieanlagen/eno-92.html;;;;;;;;
105;Ecotecnia;100;3000;100;Pitch;No;No;25;Available;75/90/100;3;;25/34;ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;var;;7,94-14,3;;;1;;;;;;;Франция;ND;independent pitch ;;;;http://www.alstom.com/power/renewables/wind/turbines/eco100/;;;;;;;;
106;Ecotecnia;110;3000;110;Pitch;ND;No;25;Available;75/90/100;3;;25/34;ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;var;;7,8-13,7;;;1;;;;;;;Франция;ND;independent pitch ;;;;http://www.alstom.com/power/renewables/wind/turbines/eco100/;;;;;;;;
