название;широта;долгота;минимальная скорость м/с;максимальная скорость м/с
Усть-Уса (Усинский район);56.98209;52.18753;0;21
Усть-Цильма;65.43544;52.15475;0;26
Усть-Щугер(Вуктыльский район);64.26748;57.6219;0;23
Ухта;63.56215;53.68442;0;24
Якша(Троицко-Печорский р-н);61.8274700000001;56.8250800000001;0;17
Нижний Новгород;56.3214600000001;44.03268;0;22
Арзамас;55.39777;43.82536;0;28
Большое Болдино;55.0036400000001;45.3107000000001;0;24
Ветлуга;57.8512200000001;45.7794500000001;0;23
Выкса;55.31735;42.1812;0;21
Городец;56.64561;43.4762000000001;0;24
Дальнее Константиново;55.8037;44.08707;0;24
Красные Баки;57.12634;45.1539000000001;0;20
Лукоянов;55.0295600000001;44.49105;0;22
Лысково;56.03916;45.0461000000001;0;25
Павлово;55.9433300000001;43.10157;0;22
Сергач;55.53198;45.4660000000001;0;24
Шахунья;57.6761300000001;46.6151800000001;0;24
Иркутск;52.3002500000001;104.24685;0;22
Иркутск - аэропорт;52.2731599306077;104.353410075162;0;25
Ангарск;52.5443300000001;103.88766;0;24
Байкальск(Слюдянский район);51.5152400000001;104.13851;0;16
Балаганск;54.0104400000001;103.05709;0;27
Братск;56.17632;101.59997;0;21
Ербогачён;61.2705500000001;108.00985;0;15
Жигалово;54.81273;105.1521;0;23
Залари;53.57606;102.51975;0;22
Зима;53.91965;102.04555;0;22
Инга (Черемховский р-н);52.9729400000001;101.96997;0;28
Казачинское;57.7021700000001;93.26766;0;24
Карам(Казачинско-Ленский р-н);55.14165;107.59608;0;17
Качуг;53.9587000000001;105.89122;0;19
Киренск;57.7739700000001;108.09831;0;27
Мама;58.2968100000001;112.90937;0;32
Мамакан(Бодайбинский район);57.81647;114.0086;0;20
Нижнеудинск;54.91551;99.03803;0;22
Преображенка (Катангский район);60.0254600000001;108.09201;0;19
Слюдянка;51.65923;103.7149;0;22
Тайшет;55.9280800000001;97.97324;0;23
Тангуй (Братский район);55.38536;101.03177;0;22
Тулун;54.5620500000001;100.57971;0;19
Усть-Кут;56.77977;105.73766;0;20
Хужир (Ольхонский район);53.19338;107.3451;0;24
Червянка (Чунский район);57.65452;99.54474;0;24
Черемхово;53.13861;103.078;0;24
Иваново;56.9956700000001;40.97882;0;22
Кинешма;57.43643;42.1235600000001;0;20
Приволжск;57.37692;41.26653;0;20
Шуя;56.85326;41.38509;0;21
Юрьевец;57.30983;43.0975500000001;0;23
Санкт-Петербург;59.93318;30.3060400000001;0;22
Винницы(Подпорожский район);60.6281000000001;34.7814100000001;0;25
Воейково(Всеволожский район);59.9513900000001;30.7066600000001;0;23
Вознесенье (Подпорожский район);61.0116;35.48281;0;19
Волосово;59.44611;29.47459;0;28
Выборг;60.7131000000001;28.74787;0;29
Ефимовский(Бокситогорский район);59.49816;34.6694400000001;0;23
Кингисепп;59.3757200000001;28.62303;0;21
Кириши;59.4576900000001;32.01921;0;22
Кронштадт;59.99379;29.77621;0;26
Лесогорский(Выборгский район);61.08914;28.9017400000001;0;20
Лодейное Поле;60.7343000000001;33.54938;0;20
Ломоносов;59.91556;29.7669700000001;0;22
Любань (Тосненский р-н);59.34265;31.2479000000001;0;20
Новая Ладога(Волховский район);60.1036300000001;32.31179;0;24
Озерки (Выборгский р-н);60.31408;29.6736500000001;0;29
Ретюнь (Лужский р-н);58.5613700000001;29.8015100000001;0;21
Сиверский (Гатчинский р-н);59.3503700000001;30.0595000000001;0;23
Сосново (Приозерский р-н);60.5613000000001;30.2168600000001;0;23
Тихвин;59.6450300000001;33.5160900000001;0;23
